name,url,rating,price,contact,via,CAP,comune
FiOcCo Di NeVe Bar Pizzeria Paninoteca,https://www.tripadvisor.it/Restaurant_Review-g1185616-d6495987-Reviews-FiOcCo_Di_NeVe_Bar_Pizzeria_Paninoteca-Montecampione_Artogne_Province_of_Brescia.html,4.5,cibo economico,+393792264791,Via Plan di Monte Campione 64 Condominio valgrande ,25040, artogne 
Ristorante Pizzeria Bar Legazzuolo,https://www.tripadvisor.it/Restaurant_Review-g1185616-d2690448-Reviews-Ristorante_Pizzeria_Bar_Legazzuolo-Montecampione_Artogne_Province_of_Brescia_Lom.html,4.0,fascia media,+390364560292,Via Legazzuolo 1 ,25040, Montecampione di Artogne Brescia 
Sloppy 1800,https://www.tripadvisor.it/Restaurant_Review-g1185616-d3915537-Reviews-Sloppy_1800-Montecampione_Artogne_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+393335449865,Montecampione 1800,,Montecampione Artogne
baita dello Sciatore,https://www.tripadvisor.it/Restaurant_Review-g2208908-d4751450-Reviews-Baita_dello_Sciatore-Artogne_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364589167,localita Prato Secondino,,Artogne
Ca Dei Niss,https://www.tripadvisor.it/Restaurant_Review-g2208908-d3242709-Reviews-Ca_Dei_Niss-Artogne_Province_of_Brescia_Lombardy.html,4.0,,+390364590209,Via Concordia ,25040, Artogne
Rifugio Al Bait,https://www.tripadvisor.it/Restaurant_Review-g1185616-d7218459-Reviews-Rifugio_Al_Bait-Montecampione_Artogne_Province_of_Brescia_Lombardy.html,4.5,fascia media,+393338261475,Via Montecampione N. 36 ,25040, Montecampione Artogne
La Locanda dei Cantu,https://www.tripadvisor.it/Restaurant_Review-g1826735-d2512989-Reviews-La_Locanda_dei_Cantu-Carona_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39034577044,Piazza Vittorio Veneto 3 ,24010, Carona
Siamo Perigolosi,https://www.tripadvisor.it/Restaurant_Review-g1826735-d12866389-Reviews-Siamo_Perigolosi-Carona_Province_of_Bergamo_Lombardy.html,5.0,,+393662827986,Via A. Locatelli 6 ,24010, Carona
Al Solito Posto,https://www.tripadvisor.it/Restaurant_Review-g1826735-d9711869-Reviews-Al_Solito_Posto-Carona_Province_of_Bergamo_Lombardy.html,2.0,fascia media,+393332149430,Via Antonio Locatelli 9 ,24010, Carona
Il posto di Ste,https://www.tripadvisor.it/Restaurant_Review-g187861-d16778605-Reviews-Il_posto_di_Ste-Trento_Province_of_Trento_Trentino_Alto_Adige.html,4.5,fascia media,+390461437438,Via Malpaga 20 ,38122, Trento
Memo,https://www.tripadvisor.it/Restaurant_Review-g187849-d2470196-Reviews-Memo-Milan_Lombardy.html,3.5,cucina raffinata,+390254019856,Viale Monte Ortigara 30 ,20137, Milano
RISTORANTE PIZZERIA DA CECCA,https://www.tripadvisor.it/Restaurant_Review-g1131567-d2372916-Reviews-RISTORANTE_PIZZERIA_DA_CECCA-Zogno_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39034594477,Via Spino Al Brembo 76 ,24019, Zogno
Carona (val Carisole),https://www.tripadvisor.it/Restaurant_Review-g1826735-d24188290-Reviews-Carona_val_Carisole-Carona_Province_of_Bergamo_Lombardy.html,,,+393288142888,Val Carisole,,Carona
Bazzario,https://www.tripadvisor.it/Restaurant_Review-g1307915-d19085232-Reviews-Bazzario-Lavarone_Province_of_Trento_Trentino_Alto_Adige.html,4.5,,+393407037093,Via Lago 6 ,38046, Lavarone
Panini Durini,https://www.tripadvisor.it/Restaurant_Review-g187849-d11838528-Reviews-Panini_Durini-Milan_Lombardy.html,3.5,cibo economico,+390289095343,Via Mercato 24 ,20121, Milano
La Rotonda,https://www.tripadvisor.it/Restaurant_Review-g3174691-d3835089-Reviews-La_Rotonda-Ghedi_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39030901836,Strada Borgosatollo 8 ,25016, Ghedi
Vecchia Pavia,https://www.tripadvisor.it/Restaurant_Review-g187850-d2409896-Reviews-Vecchia_Pavia-Pavia_Province_of_Pavia_Lombardy.html,3.5,cibo economico,+39038227178,Via Antonio Mantovani 3 ,27100, Pavia
Sushiko Rubiera,https://www.tripadvisor.it/Restaurant_Review-g651984-d11878383-Reviews-Sushiko_Rubiera-Rubiera_Province_of_Reggio_Emilia_Emilia_Romagna.html,3.5,fascia media,+390522620409,Via Rocco Chinnici 1/D Parco Commerciale San Biagio ,42048, Rubiera
Le Colombare Ristorante Argentino,https://www.tripadvisor.it/Restaurant_Review-g187871-d2290393-Reviews-Le_Colombare_Ristorante_Argentino-Verona_Province_of_Verona_Veneto.html,3.5,fascia media,+39045914121,Via Castello San Felice 7 Parco delle Colombare ,37128, Verona
RIFUGIO VODALA,https://www.tripadvisor.it/Restaurant_Review-g2088613-d3685513-Reviews-Rifugio_Vodala-Gromo_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39034647079,Spiazzi Di Gromo Boario ,24020, Gromo
Ristorante Firenze,https://www.tripadvisor.it/Restaurant_Review-g194672-d2278426-Reviews-Ristorante_Firenze-Aprica_Province_of_Sondrio_Lombardy.html,4.5,fascia media,+390342746410,Corso Roma 223 ,23031, Aprica
Ristorante La Caveja,https://www.tripadvisor.it/Restaurant_Review-g194672-d3332711-Reviews-Ristorante_La_Caveja-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+393204635873,Via Europa 78 ,23031, Aprica
